Domaine,Zone,Élément,Produit,Année,Valeur
"Données de la sécurité alimentaire","Maroc","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.37"
"Données de la sécurité alimentaire","Maurice","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.97"
"Données de la sécurité alimentaire","Mauritanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.63"
"Données de la sécurité alimentaire","Mexique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.8"
"Données de la sécurité alimentaire","Micronésie (États fédérés de)","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.18"
"Données de la sécurité alimentaire","Mongolie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.79"
"Données de la sécurité alimentaire","Monténégro","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.06"
"Données de la sécurité alimentaire","Mozambique","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.93"
"Données de la sécurité alimentaire","Myanmar","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.08"
"Données de la sécurité alimentaire","Namibie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.63"
"Données de la sécurité alimentaire","Nauru","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.52"
"Données de la sécurité alimentaire","Népal","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.61"
"Données de la sécurité alimentaire","Nicaragua","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.05"
"Données de la sécurité alimentaire","Niger","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.27"
"Données de la sécurité alimentaire","Nigéria","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2"
"Données de la sécurité alimentaire","Nioué","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Norvège","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.17"
"Données de la sécurité alimentaire","Nouvelle-Calédonie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Nouvelle-Zélande","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.6"
"Données de la sécurité alimentaire","Oman","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.75"
"Données de la sécurité alimentaire","Ouganda","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.57"
"Données de la sécurité alimentaire","Ouzbékistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.24"
"Données de la sécurité alimentaire","Pakistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.41"
"Données de la sécurité alimentaire","Palaos","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.87"
"Données de la sécurité alimentaire","Palestine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.66"
"Données de la sécurité alimentaire","Panama","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.39"
"Données de la sécurité alimentaire","Papouasie-Nouvelle-Guinée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.7"
"Données de la sécurité alimentaire","Paraguay","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0"
"Données de la sécurité alimentaire","Pays-Bas","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.92"
"Données de la sécurité alimentaire","Pérou","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.26"
"Données de la sécurité alimentaire","Philippines","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.19"
"Données de la sécurité alimentaire","Pologne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.52"
"Données de la sécurité alimentaire","Polynésie française","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Porto Rico","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.48"
"Données de la sécurité alimentaire","Portugal","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.12"
"Données de la sécurité alimentaire","Qatar","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.66"
"Données de la sécurité alimentaire","République arabe syrienne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.62"
"Données de la sécurité alimentaire","République centrafricaine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.01"
"Données de la sécurité alimentaire","République de Corée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.39"
"Données de la sécurité alimentaire","République de Moldova","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.32"
"Données de la sécurité alimentaire","République démocratique du Congo","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.3"
"Données de la sécurité alimentaire","République démocratique populaire lao","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.4"
"Données de la sécurité alimentaire","République dominicaine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.16"
"Données de la sécurité alimentaire","République populaire démocratique de Corée","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.5"
"Données de la sécurité alimentaire","République-Unie de Tanzanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.56"
"Données de la sécurité alimentaire","Roumanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.06"
"Données de la sécurité alimentaire","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.39"
"Données de la sécurité alimentaire","Rwanda","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.09"
"Données de la sécurité alimentaire","Sainte-Lucie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.99"
"Données de la sécurité alimentaire","Saint-Kitts-et-Nevis","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.65"
"Données de la sécurité alimentaire","Saint-Vincent-et-les Grenadines","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.89"
"Données de la sécurité alimentaire","Samoa","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.18"
"Données de la sécurité alimentaire","Samoa américaines","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.22"
"Données de la sécurité alimentaire","Sao Tomé-et-Principe","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.19"
"Données de la sécurité alimentaire","Sénégal","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.05"
"Données de la sécurité alimentaire","Serbie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.09"
"Données de la sécurité alimentaire","Seychelles","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.79"
"Données de la sécurité alimentaire","Sierra Leone","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.04"
"Données de la sécurité alimentaire","Singapour","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.62"
"Données de la sécurité alimentaire","Slovaquie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.91"
"Données de la sécurité alimentaire","Slovénie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.87"
"Données de la sécurité alimentaire","Somalie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.26"
"Données de la sécurité alimentaire","Soudan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.98"
"Données de la sécurité alimentaire","Soudan du Sud","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.45"
"Données de la sécurité alimentaire","Sri Lanka","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.07"
"Données de la sécurité alimentaire","Suède","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.98"
"Données de la sécurité alimentaire","Suisse","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.26"
"Données de la sécurité alimentaire","Suriname","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.13"
"Données de la sécurité alimentaire","Tadjikistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.67"
"Données de la sécurité alimentaire","Tchad","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.29"
"Données de la sécurité alimentaire","Tchéquie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1"
"Données de la sécurité alimentaire","Thaïlande","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.75"
"Données de la sécurité alimentaire","Timor-Leste","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.07"
"Données de la sécurité alimentaire","Togo","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.88"
"Données de la sécurité alimentaire","Tokélaou","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017",""
"Données de la sécurité alimentaire","Tonga","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.79"
"Données de la sécurité alimentaire","Trinité-et-Tobago","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.28"
"Données de la sécurité alimentaire","Tunisie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.02"
"Données de la sécurité alimentaire","Turkménistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.13"
"Données de la sécurité alimentaire","Turquie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.79"
"Données de la sécurité alimentaire","Tuvalu","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.24"
"Données de la sécurité alimentaire","Ukraine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.87"
"Données de la sécurité alimentaire","Uruguay","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","1.05"
"Données de la sécurité alimentaire","Vanuatu","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.7"
"Données de la sécurité alimentaire","Venezuela (République bolivarienne du)","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-1.27"
"Données de la sécurité alimentaire","Viet Nam","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.23"
"Données de la sécurité alimentaire","Yémen","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-2.94"
"Données de la sécurité alimentaire","Zambie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","0.15"
"Données de la sécurité alimentaire","Zimbabwe","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2017","-0.71"
